Country Name,WVS country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Early-demographic dividend,Early-demographic dividend,0,0,0,0,0.000100276,0.000113442,0.00030093,0.000843001,0.001466307,0.002802632,0.009220602,0.019018598,0.034260337,0.053408543,0.102254159,0.183403934,0.344860816,0.649816506,1.04643582,1.880692633,3.276987328,4.660264995,6.05208249,8.305387564,11.6600264,17.2423088,25.28862186,34.71339672,45.1797822,55.64189063,68.06944603,77.45400156,79.62194863,83.29147185,86.24873122,89.20212409,94.92082612
East Asia & Pacific,East Asia & Pacific,0,0.000831737,0.001221433,0.001650905,0.002643773,0.004149016,0.007415709,0.012830749,0.023581711,0.049689557,0.088526087,0.14554175,0.212269766,0.311679707,0.575187653,1.244211258,2.468185905,3.715379553,5.280629889,7.798754547,11.3606241,15.76823515,20.2632184,24.66296095,29.51927556,33.97190452,39.37400762,47.92968646,56.99488958,64.84927651,73.65701796,83.21152069,91.59026555,98.24787166,103.3704471,104.0809224,109.9784891
Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income),0,0,0,0,0,0,0.000100491,0.00139028,0.002658068,0.004177793,0.008456747,0.012727718,0.017754591,0.025453072,0.057777544,0.15450419,0.301913385,0.670179718,1.413980688,3.179437537,6.467733729,9.957892686,15.0576418,23.27029886,39.30161539,60.80134035,80.17391812,94.78227602,108.4423746,118.4447324,122.9257484,119.5442616,121.7962752,125.8241962,127.0399844,127.9612913,127.4584712
Europe & Central Asia,Europe & Central Asia,0.002994438,0.006375771,0.009998219,0.015535323,0.023931576,0.041870502,0.068746952,0.116338422,0.19194457,0.301392179,0.415183051,0.565181315,0.745269681,1.103961695,1.795847432,2.847244574,4.47986281,7.18941714,12.27882238,21.32881154,34.1343897,42.01168977,47.65153065,55.12482731,66.19337674,81.0947505,94.63698238,106.388825,115.1395809,119.5358802,120.3655869,120.5095599,122.687767,125.2228837,125.1342342,124.9553065,125.766458
Ecuador,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168981695,0.475325427,0.511654106,1.060839197,1.996171453,3.090527863,3.818421304,6.68457463,11.94043632,18.04539504,26.23439384,45.47670942,60.74861034,69.97296742,80.87509159,90.13348399,98.96911151,101.0236303,106.725658,106.159366,104.4181604,80.17527227,84.72519003
"Egypt, Arab Rep.",Egypt,0,0,0,0,0,0,0,0.004950418,0.005538313,0.006461742,0.006967158,0.007659263,0.008183487,0.011223064,0.011794403,0.011564107,0.011348541,0.098831287,0.134741198,0.700855866,1.945326915,3.922392286,6.191889645,7.836412296,10.13911841,17.75192835,23.03137827,37.83594714,51.00022567,67.12207389,84.01262188,97.12166915,110.2325598,111.0208506,103.8158916,100.2537691,102.1975013
Euro area,Euro area,0.007792467,0.009355873,0.011178901,0.015914075,0.020678587,0.033766394,0.05512574,0.089828533,0.154542874,0.253213282,0.439475655,0.717914843,1.041675686,1.610130694,2.514550128,4.120521408,7.189476885,12.58671463,21.95106262,37.75322569,59.18540912,71.62683479,76.41710402,82.41960499,89.13643314,98.18872383,106.2674747,116.3221463,121.735396,120.9817308,117.1036519,120.1722313,121.6566577,122.7704036,121.1717961,120.5720731,124.133617
Eritrea,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518319618,1.01884426,1.524498801,2.030851374,2.566509381,3.274224225,4.219579853,5.406832652,6.693368548,7.62941631,8.794691159,9.799924737,10.21263885
Spain,Spain,0,0,0,,,,0.004363665,0.010753455,0.02970752,0.075934928,0.139164143,0.275233991,0.456266401,0.64901579,1.035922387,2.368872407,7.492366029,10.80869022,15.97672349,37.00989274,59.32239009,71.64586201,79.86324095,87.26111814,89.09134015,96.93815529,102.1677305,106.6718542,107.8819694,109.8472629,109.8331304,112.1114334,108.1261331,107.4118145,109.2094921,110.0653904,111.163326
Estonia,Estonia,0,0,0,0,0,0,0,0,0,0,0,0.036816592,0.164254575,0.485464622,0.945306854,2.125016748,4.902182071,10.22931543,17.56319551,27.56824566,39.81096581,46.7907186,63.71444358,76.49749546,92.09175947,106.6132211,122.9306817,125.130871,121.2547921,117.5701998,124.0752585,135.9536572,150.9320464,145.8445322,143.9327983,144.7209464,144.6098951
